approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,kl_coef,mutual_info_coef,mutual_info_coef1,mutual_info_loss,mutual_info_loss1,nupdates,policy_entropy,policy_loss,serial_timesteps,student_ps,student_ps_coef,student_ps_loss,time_elapsed,total_timesteps,value_loss,vf_student_ps,vf_student_ps_coef,vf_student_ps_loss
0.014490528,0.22958985,30.907692307692308,-140.9397768769231,-0.24653804302215576,251,0.10000026,1.0,1.0,0.11633303,0.03623157,1,22.65392,-0.053790845,2048,0.4662775,0.0,0.7630835,8.225709199905396,2048,0.42278177,0.4697873,0.0,0.7554799
0.01808572,0.29414064,28.135135135135137,-124.3917104189189,0.14636772871017456,257,0.10000026,1.0,1.0,-0.074506424,-0.18351832,2,22.572845,-0.07179694,4096,0.45492277,0.0,0.7880154,16.169541597366333,4096,0.22150454,0.46778917,0.0,0.7597492
0.020099089,0.31342775,33.096774193548384,-146.75046733870968,0.17574381828308105,266,0.10000026,1.0,1.0,-0.19406132,-0.3468651,3,22.516651,-0.07477136,6144,0.44152397,0.0,0.81848115,23.85843300819397,6144,0.26867566,0.46448484,0.0,0.76686054
0.022798698,0.3563965,29.15714285714286,-129.13275241428573,0.23590683937072754,262,0.10000026,1.0,1.0,-0.30116615,-0.5006218,4,22.436039,-0.0833159,8192,0.43099794,0.0,0.84367526,31.649690866470337,8192,0.25773674,0.4581007,0.0,0.78074425
0.02633584,0.38876954,26.86842105263158,-119.4279593157895,0.2645907402038574,260,0.10000026,1.0,1.0,-0.39617628,-0.65058374,5,22.358906,-0.08390866,10240,0.41904974,0.0,0.872787,39.51442337036133,10240,0.25659078,0.45496416,0.0,0.7876903
0.025458653,0.38120118,28.338028169014084,-121.20222325352111,0.27180755138397217,265,0.10000026,1.0,1.0,-0.49161857,-0.81036264,6,22.266476,-0.08319138,12288,0.410909,0.0,0.89362323,47.24311065673828,12288,0.25262755,0.45342046,0.0,0.7912308
0.028719535,0.41723633,28.65753424657534,-124.69978506849316,0.2595634460449219,261,0.10000026,1.0,1.0,-0.5818888,-0.96621674,7,22.201553,-0.08609765,14336,0.40431017,0.0,0.9108491,55.0725417137146,14336,0.26829982,0.45048633,0.0,0.7978394
0.029098537,0.40107423,25.25,-107.56448418749999,0.33019018173217773,265,0.10000026,1.0,1.0,-0.66839975,-1.1206529,8,22.104261,-0.08491844,16384,0.39753774,0.0,0.92953396,62.78200006484985,16384,0.22706382,0.45020097,0.0,0.79855
0.028538823,0.39208984,27.346666666666668,-115.02871114666668,0.3131325840950012,259,0.10000026,1.0,1.0,-0.7502399,-1.2722794,9,21.983267,-0.08112912,18432,0.38743585,0.0,0.9573746,70.67653703689575,18432,0.24287239,0.44982153,0.0,0.79958856
0.028423313,0.39560547,21.589473684210525,-89.97056189473685,0.39219558238983154,261,0.10000026,1.0,1.0,-0.8353038,-1.4327669,10,21.8695,-0.07242392,20480,0.38039827,0.0,0.977668,78.50324034690857,20480,0.18382338,0.44968247,0.0,0.8001817
0.030437108,0.42026368,22.988888888888887,-93.95846859999999,0.27257299423217773,260,0.10000026,1.0,1.0,-0.9155879,-1.5931838,11,21.773067,-0.07849795,22528,0.37711895,0.0,0.9886754,86.37508463859558,22528,0.22298975,0.4486041,0.0,0.80259293
0.029623955,0.40219727,21.45263157894737,-87.67619115789472,0.29715144634246826,262,0.10000026,1.0,1.0,-0.9947203,-1.7508152,12,21.679283,-0.07479386,24576,0.3724322,0.0,1.00371,94.17259502410889,24576,0.20726995,0.4487311,0.0,0.80244285
0.026450276,0.3732422,20.0,-77.88273067961165,0.33584368228912354,247,0.10000026,1.0,1.0,-1.0718805,-1.9103482,13,21.586697,-0.06699304,26624,0.3685549,0.0,1.0160469,102.46247124671936,26624,0.15672971,0.44778347,0.0,0.8049432
0.03099193,0.4086914,17.698275862068964,-69.4837444224138,0.30976206064224243,257,0.10000026,1.0,1.0,-1.144465,-2.0578475,14,21.463533,-0.073673084,28672,0.36694878,0.0,1.0218427,110.41421461105347,28672,0.16177827,0.4495009,0.0,0.80113107
0.02766489,0.38339844,17.730434782608697,-69.58621909565218,0.29593074321746826,264,0.10000026,1.0,1.0,-1.2059038,-2.1910527,15,21.336304,-0.069339916,30720,0.3651851,0.0,1.0287167,118.17074394226074,30720,0.14161491,0.44915682,0.0,0.80197
0.030086642,0.4020508,17.843478260869563,-69.07541091304348,0.29631340503692627,261,0.10000026,1.0,1.0,-1.2794234,-2.3405342,16,21.241564,-0.071105346,32768,0.36336866,0.0,1.0359344,125.98944354057312,32768,0.15761474,0.4486153,0.0,0.803305
0.028116489,0.39379883,17.18487394957983,-65.18988538655462,0.3282058835029602,263,0.10000026,1.0,1.0,-1.3442355,-2.4760475,17,21.155483,-0.06852018,34816,0.3611806,0.0,1.0434126,133.7602400779724,34816,0.16055046,0.44882703,0.0,0.8030559
0.026792508,0.36918944,15.088235294117647,-57.30686418382352,0.4184448719024658,256,0.10000026,1.0,1.0,-1.3886393,-2.5614142,18,21.062153,-0.06728248,36864,0.35880893,0.0,1.051007,141.74276661872864,36864,0.1141964,0.44844985,0.0,0.80420905
0.027780995,0.39521486,15.066666666666666,-57.19251426666666,0.35860389471054077,257,0.10000026,1.0,1.0,-1.4600068,-2.7130423,19,20.973534,-0.07300791,38912,0.35701758,0.0,1.0572569,149.68315434455872,38912,0.13101372,0.44925904,0.0,0.8024562
0.026052535,0.3743164,14.41958041958042,-53.861454993006994,0.4272892475128174,255,0.10000026,1.0,1.0,-1.5048488,-2.8007464,20,20.859192,-0.06717,40960,0.35773396,0.0,1.0566139,157.689697265625,40960,0.10775989,0.44883734,0.0,0.8035611
0.025497666,0.36826172,11.895348837209303,-44.67038413953489,0.4208214282989502,255,0.10000026,1.0,1.0,-1.5732903,-2.9484851,21,20.725952,-0.06944549,43008,0.35954314,0.0,1.052253,165.70942330360413,43008,0.08616695,0.44870734,0.0,0.8040118
0.024675367,0.35893553,11.402234636871508,-41.48194092178771,0.42458945512771606,258,0.10000026,1.0,1.0,-1.6295246,-3.0661452,22,20.585175,-0.06597998,45056,0.3572452,0.0,1.0596437,173.64010095596313,45056,0.081930384,0.4498693,0.0,0.80131245
0.024212264,0.3543457,10.769633507853403,-39.27957637172774,0.44341129064559937,257,0.10000026,1.0,1.0,-1.6805265,-3.16892,23,20.405985,-0.065483,47104,0.3552625,0.0,1.0668929,181.58665013313293,47104,0.06345513,0.44938976,0.0,0.8024742
0.02508593,0.35703126,10.205,-36.729705270000004,0.41927385330200195,257,0.10000026,1.0,1.0,-1.7352012,-3.287314,24,20.209679,-0.06467909,49152,0.35532835,0.0,1.0682065,189.5464220046997,49152,0.05901133,0.44776136,0.0,0.80642587
