approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.010475641,0.14760742,17.016666666666666,-1.1386419833333334,-0.2801758050918579,285,1,8.51279,-0.027890075,2048,7.249614477157593,2048,0.52086127
0.013060617,0.18901367,20.877551020408163,1.4422997857142859,0.046029627323150635,335,2,8.484798,-0.030338794,4096,13.362268924713135,4096,0.34932095
0.014624247,0.2128418,24.759036144578314,4.979075168674699,0.14234000444412231,291,3,8.446503,-0.031323995,6144,20.396459102630615,6144,0.32651114
0.015333874,0.22817382,40.0,14.935902156862747,0.34854936599731445,334,4,8.407976,-0.033074148,8192,26.541029453277588,8192,0.37334424
0.012141844,0.17617187,52.15384615384615,24.288088871794873,0.45265471935272217,276,5,8.355408,-0.02561852,10240,33.95719909667969,10240,0.32535878
0.011846328,0.16552734,89.69565217391305,48.446025913043485,0.6311609745025635,337,6,8.316988,-0.027006567,12288,40.0289626121521,12288,0.31299928
0.0095237745,0.14072266,107.66666666666667,72.30404066666668,0.6380707323551178,286,7,8.28814,-0.02487773,14336,47.171862840652466,14336,0.19739246
0.010586913,0.15390626,154.71428571428572,127.58554121428573,0.708054929971695,326,8,8.209161,-0.026838679,16384,53.45506143569946,16384,0.13801928
0.010610773,0.15327148,195.5,158.5446424,0.7230880260467529,277,9,8.148797,-0.023858227,18432,60.84430265426636,18432,0.11544739
0.010278053,0.14438477,224.33333333333334,216.39634666666666,0.7698768079280853,352,10,8.107501,-0.025086056,20480,66.65975165367126,20480,0.11013223
0.008044236,0.10864258,154.0,214.14433807142856,0.7191997170448303,296,11,8.099029,-0.020006044,22528,73.57924938201904,22528,0.10064193
0.009687799,0.13041992,154.45454545454547,211.8321599090909,0.7875688076019287,318,12,8.098543,-0.020995954,24576,80.03598475456238,24576,0.070038415
0.009026237,0.12519531,174.92307692307693,249.64096584615388,0.7179379463195801,351,13,8.092344,-0.020159677,26624,85.8833487033844,26624,0.06136806
0.01026623,0.13232422,214.66666666666666,255.48400077777782,0.8493470102548599,293,14,8.042984,-0.024761043,28672,92.88662195205688,28672,0.060715318
0.009856188,0.13842773,191.33333333333334,284.11908350000004,0.7651254385709763,342,15,8.012785,-0.0230066,30720,98.877601146698,30720,0.04671122
0.01013769,0.14516601,178.27272727272728,180.29329263636365,0.8629440069198608,290,16,8.00398,-0.021761665,32768,106.00653910636902,32768,0.0536249
0.009945541,0.14072266,184.1818181818182,251.4118005454545,0.8487921804189682,347,17,7.984656,-0.021777568,34816,111.91374397277832,34816,0.044486523
0.008148517,0.11577149,154.0,222.21681953846155,0.8756119683384895,293,18,7.96993,-0.019608002,36864,118.90504908561707,36864,0.034256056
0.010098455,0.13652344,169.25,251.9254758333333,0.8712811172008514,320,19,7.957328,-0.020300772,38912,125.30892515182495,38912,0.032427218
0.008789872,0.124414064,197.8,270.47514859999995,0.8802514299750328,323,20,7.9550653,-0.020094573,40960,131.65495610237122,40960,0.03694098
0.009993082,0.14487305,199.63636363636363,306.88668009090907,0.8955876231193542,316,21,7.9377723,-0.024420183,43008,138.14061331748962,43008,0.017205292
0.01054321,0.15249023,185.54545454545453,292.4685095454546,0.9190100505948067,277,22,7.9207497,-0.02275383,45056,145.56875038146973,45056,0.014922403
0.011571146,0.16694336,173.91666666666666,264.73171833333333,0.9297354966402054,245,23,7.911454,-0.023881426,47104,153.93438076972961,47104,0.020668834
0.009534964,0.13798828,150.30769230769232,243.6213558461538,0.9421724788844585,283,24,7.900482,-0.022933442,49152,161.22388863563538,49152,0.016608587
0.011226894,0.16450195,174.08333333333334,271.2148805,0.9326787069439888,268,25,7.9091616,-0.023341637,51200,168.858473777771,51200,0.02030871
0.010672952,0.15146485,165.92307692307693,274.10298146153843,0.9411063306033611,321,26,7.898719,-0.026407838,53248,175.22844052314758,53248,0.014366979
0.008514848,0.11816406,196.4,338.23097340000004,0.948770958930254,311,27,7.859993,-0.021387437,55296,181.80784726142883,55296,0.008168638
0.010769816,0.16157226,214.2,289.7219799,0.9535533301532269,270,28,7.8164406,-0.02698559,57344,189.4374463558197,57344,0.019491639
0.010899161,0.15668945,159.25,289.17258224999995,0.9314833357930183,313,29,7.767829,-0.02412985,59392,195.9839403629303,59392,0.016359167
0.012113734,0.17573242,160.69230769230768,291.548836,0.9612547568976879,301,30,7.7287507,-0.026497725,61440,202.77577900886536,61440,0.008981766
0.0098515265,0.13984375,172.66666666666666,315.98678041666665,0.9675138108432293,341,31,7.71242,-0.022667458,63488,208.85602974891663,63488,0.007101219
0.010499066,0.15166016,175.72727272727272,327.8463735454545,0.9816581923514605,299,32,7.6902733,-0.024818422,65536,215.7087061405182,65536,0.004511405
0.010555067,0.15107422,152.42857142857142,290.9460832142857,0.9778227116912603,262,33,7.6666846,-0.02468307,67584,223.50485849380493,67584,0.005525758
0.010199253,0.14521484,164.46153846153845,312.54099792307693,0.979334095492959,304,34,7.6307626,-0.025859434,69632,230.2418441772461,69632,0.0053145755
0.0098888185,0.1352539,173.36363636363637,276.8133086363636,0.965055126696825,335,35,7.6219926,-0.022656448,71680,236.35749077796936,71680,0.011549337
0.009881519,0.14448242,168.3846153846154,323.9168501538462,0.9824555460363626,266,36,7.607797,-0.024059258,73728,244.04892659187317,73728,0.0047583827
0.009893526,0.14169922,165.16666666666666,319.9539765833334,0.9748850371688604,335,37,7.5715055,-0.024699304,75776,250.1715531349182,75776,0.0060992744
0.013363508,0.18583985,165.5,322.83393883333326,0.9680739045143127,319,38,7.5481086,-0.027397279,77824,256.6033546924591,77824,0.007024569
0.010830562,0.15483399,172.16666666666666,329.3881980833333,0.9736633691936731,299,39,7.536748,-0.023480592,79872,263.47697377204895,79872,0.006150125
