approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.012261613,0.18291016,17.41025641025641,-0.4825943418803419,0.05778622627258301,467,1,8.490306,-0.031877283,2048,4.4820146560668945,2048,0.50592387
0.01618483,0.221875,23.181818181818183,2.5099647045454545,0.17270910739898682,548,2,8.454638,-0.036031976,4096,8.215543270111084,4096,0.43783766
0.01373673,0.20405273,27.675675675675677,5.271495270270271,0.30830007791519165,540,3,8.417256,-0.032336727,6144,12.009905815124512,6144,0.25569037
0.015695129,0.22807617,34.54237288135593,10.934333898305082,0.41242343187332153,495,4,8.367587,-0.03288629,8192,16.14291477203369,8192,0.3639936
0.012886576,0.18261719,47.348837209302324,27.60923974418605,0.5039544999599457,582,5,8.280424,-0.029537376,10240,19.66449785232544,10240,0.4781503
0.010721433,0.15600586,75.92592592592592,53.962191444444436,0.6125192642211914,446,6,8.1989155,-0.02643973,12288,24.255223512649536,12288,0.27917466
0.011683068,0.16992188,90.54545454545455,65.39137236363635,0.6928794980049133,481,7,8.142696,-0.027087858,14336,28.513835668563843,14336,0.17090043
0.010376319,0.15708008,194.27272727272728,185.50200536363636,0.6388742327690125,444,8,8.098964,-0.025823886,16384,33.12949275970459,16384,0.14915463
0.011347716,0.1673828,157.76923076923077,146.1665766923077,0.7728021293878555,384,9,8.066984,-0.025370553,18432,38.473204374313354,18432,0.10233049
0.009865723,0.14423828,145.23076923076923,178.72684646153846,0.7545366734266281,403,10,8.025874,-0.024417177,20480,43.5516242980957,20480,0.10168765
0.009828115,0.13598633,194.54545454545453,224.40753772727268,0.7813957035541534,328,11,7.986473,-0.021439675,22528,49.79492950439453,22528,0.0699728
0.008648017,0.12070312,343.0,300.9802615,0.7836245000362396,380,12,7.9813476,-0.021098211,24576,55.19149899482727,24576,0.061682414
0.009199796,0.1305664,198.7,300.63453999999996,0.754560723900795,281,13,7.975583,-0.022110645,26624,62.48151612281799,26624,0.054504745
0.011300717,0.16352539,164.8181818181818,234.24583390909092,0.7571089118719101,338,14,7.9494677,-0.021936037,28672,68.52934384346008,28672,0.05946306
0.009452355,0.13398437,188.08333333333334,289.5871128333334,0.8255276829004288,294,15,7.9284973,-0.02115627,30720,75.52264451980591,30720,0.04124039
0.010073251,0.1449707,248.75,324.2801865,0.7792205959558487,361,16,7.8905535,-0.022805935,32768,81.22140574455261,32768,0.044391073
0.0104681235,0.15566406,152.57142857142858,251.06554164285717,0.7972813844680786,336,17,7.8462806,-0.024300832,34816,87.34303665161133,34816,0.038239364
0.009459339,0.1328125,173.41666666666666,260.052605,0.8684713840484619,306,18,7.815236,-0.019412134,36864,94.0291576385498,36864,0.027423825
0.010948565,0.15810546,166.16666666666666,277.77372766666673,0.9171727895736694,360,19,7.7776747,-0.02237511,38912,99.7089695930481,38912,0.011899528
0.01186844,0.17319337,164.6153846153846,246.9039007692308,0.908213697373867,286,20,7.734221,-0.02632543,40960,106.8887710571289,40960,0.020986456
0.009601222,0.13779297,171.08333333333334,253.02198341666664,0.9302471354603767,340,21,7.706908,-0.022111952,43008,112.9166522026062,43008,0.01904962
0.012129577,0.17456055,179.9090909090909,304.78805090909094,0.9274532869458199,281,22,7.727252,-0.025711391,45056,120.20815539360046,45056,0.011601072
0.010006463,0.1475586,213.0,324.57115749999997,0.9126586988568306,331,23,7.7510657,-0.020261845,47104,126.38962721824646,47104,0.014942633
0.010648688,0.15771484,197.3,313.6387045,0.941194761544466,291,24,7.7243767,-0.022809515,49152,133.41184830665588,49152,0.012963811
0.010890426,0.15234375,176.66666666666666,280.6653580833334,0.9478011354804039,348,25,7.68345,-0.023190144,51200,139.3609402179718,51200,0.012318167
0.011785893,0.17094727,193.6,334.3327081,0.9450536072254181,270,26,7.639853,-0.025590366,53248,146.97956824302673,53248,0.009880078
0.011393907,0.16850586,152.28571428571428,271.78330807142856,0.9614232778549194,331,27,7.611333,-0.022169303,55296,153.16103959083557,55296,0.01149988
